"region","species_name","species_qualified","cuid","cu_name_pse","sr_red_prob","sr_yellow_prob","sr_green_prob","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","hist_red","hist_yellow","hist_green","sr_status","percentile_status","psf_status_code_all","psf_status_type","psf_status_code","psf_status"
"Skeena","Chinook","CK",224,"Skeena Estuary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Chinook","CK",227,"Lakelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Chinook","CK",229,"Zymoetz",19.7619,80.1667,0.0714,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2, 3","absolute","3","poor"
"Skeena","Chum","CM",211,"Lower Skeena",100,0,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","8","sr","8","data-deficient"
"Skeena","Chum","CM",214,"Middle Skeena",NA,NA,NA,1.42,98.5,0.08,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","8","percentile","8","data-deficient"
"Skeena","Chum","CM",220,"Skeena Estuary",NA,NA,NA,82.9,17.1,0,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","8","percentile","8","data-deficient"
"Skeena","Chum","CM",242,"Upper Skeena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Coho","CO",202,"Lower Skeena",79.5476,20.4524,0,47.84,52.16,0,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","8","sr","8","data-deficient"
"Skeena","Coho","CO",215,"Middle Skeena",0,0.2143,99.7857,0,13.02,86.98,"#FFFFFF","#FFFFFF","#009900","good","good","8","sr","8","data-deficient"
"Skeena","Coho","CO",225,"Skeena Estuary",NA,NA,NA,72.44,27.56,0,"#CC0000","#FFFFFF","#FFFFFF",NA,"poor","8","percentile","8","data-deficient"
"Skeena","Coho","CO",231,"Upper Skeena",0.0952,3.1667,96.7381,0,85.86,14.14,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","8","sr","8","data-deficient"
"Skeena","Pink","PKE",218,"Middle-Upper Skeena (even)",67.2143,32.7143,0.0714,45.72,54.28,0,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","8","sr","8","data-deficient"
"Skeena","Pink","PKE",219,"Nass-Skeena Estuary (even)",0,0,100,0,0,100,"#FFFFFF","#FFFFFF","#009900","good","good","1","sr","1","good"
"Skeena","Pink","PKO",209,"Lower Skeena River (odd)",90.1905,9.8095,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","8","sr","8","data-deficient"
"Skeena","Pink","PKO",213,"Middle-Upper Skeena (odd)",0.1667,55.3095,44.5238,1.88,98,0.12,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","8","sr","8","data-deficient"
"Skeena","Pink","PKO",223,"Nass-Skeena Estuary (odd)",79.0238,20.881,0.0952,13,86.94,0.06,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","8","sr","8","data-deficient"
"Skeena","Sockeye","SEL",171,"Alastair",100,0,0,95.56,4.44,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Skeena","Sockeye","SEL",174,"Ecstall/Lower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",175,"Johnston",99.9284,0.0239,0.0478,99.94,0.06,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",176,"Kitsumkalum",0,0,100,0.32,56.42,43.26,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","1","sr","1","good"
"Skeena","Sockeye","SEL",177,"Lakelse",0,92.5714,7.4286,16.54,83.46,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2","sr","2","fair"
"Skeena","Sockeye","SEL",178,"Mcdonell/Dennis/Aldrich",0,8.881,91.119,4.2,95.8,0,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","1","sr","1","good"
"Skeena","Sockeye","SEL",180,"Babine/Onerka",100,0,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Skeena","Sockeye","SEL",181,"Bulkley/Maxan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",183,"Gitanyow (Kitwanga/Kitwancool)",99.8283,0,0.1717,41.76,58.24,0,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","3, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",185,"Morice/Atna",100,0,0,0,12.02,87.98,"#FFFFFF","#FFFFFF","#009900","poor","good","3","sr","3","poor"
"Skeena","Sockeye","SEL",186,"Nilkitkwa",95.119,4.881,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Skeena","Sockeye","SEL",187,"Stephens",7.9762,86.7619,5.2619,5.6,94.4,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2","sr","2","fair"
"Skeena","Sockeye","SEL",189,"Tahlo/Morrison",40.0714,59.9286,0,12.4,87.6,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2","sr","2","fair"
"Skeena","Sockeye","SEL",190,"Asitika",0,99.4048,0.5952,0.14,99.86,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",191,"Azuklotz",96.1878,2.9545,0.8578,0,96.08,3.92,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","3","sr","3","poor"
"Skeena","Sockeye","SEL",192,"Bear",100,0,0,0,86.7,13.3,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","3","sr","3","poor"
"Skeena","Sockeye","SEL",193,"Damshilgwit",0,100,0,0,100,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",194,"Johanson",NA,NA,NA,0,95.38,4.62,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","2, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",195,"Kluatantan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",196,"Kluayaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",197,"Motase",99.9761,0,0.0239,53.94,46.06,0,"#FFFFFF","#FFFF00","#FFFFFF","poor","fair","3, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",198,"Sicintine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",199,"Slamgeesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",200,"Spawning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Sockeye","SEL",201,"Sustut",0,99.8333,0.1667,0,53.2,46.8,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2, 3","absolute","3","poor"
"Skeena","Sockeye","SEL",203,"Babine (enhanced)",1.0714,59.4524,39.4762,0,99.36,0.64,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2","sr","2","fair"
