parameter,location,species,year,datavalue
run_time_sd,Shuswap-Early Summer (cyclic),Lake sockeye,,9.55
run_time_sd,Shuswap-Late (cyclic),Lake sockeye,,8.16
run_time_sd,Sicintine,Lake sockeye,,14
run_time_sd,Slamgeesh,Lake sockeye,,14
run_time_sd,Spawning,Lake sockeye,,14
run_time_sd,Stephens,Lake sockeye,,12.6
run_time_sd,Sustut,Lake sockeye,,14
run_time_sd,Swan/Club,Lake sockeye,,12.6
run_time_sd,Tahlo/Morrison,Lake sockeye,,14
run_time_sd,Takla-Trembleur-Early Stuart (cyclic),Lake sockeye,,6.81
run_time_sd,Takla-Trembleur-Stuart-Summer (cyclic),Lake sockeye,,9.44
run_time_sd,Taseko-Early Summer,Lake sockeye,,9.55
run_time_sd,Widgeon (river-type),Lake sockeye,,9.44
run_time_sd,Middle-Upper Skeena (even),Pink (even),,12.5
run_time_sd,Nass-Skeena Estuary (even),Pink (even),,12.5
run_time_sd,Lower Skeena River (odd),Pink (odd),,12.5
run_time_sd,Middle-Upper Skeena (odd),Pink (odd),,12.5
run_time_sd,Nass-Skeena Estuary (odd),Pink (odd),,12.5
run_time_sd,Skeena River-High Interior (river-type),River sockeye,,
run_time_sd,Skeena River (river-type),River sockeye,,
