"scale","abundance_type","region","species","cuid","cu_name_pse","year","perc_anom"
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1991,0.3
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1992,30.3
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1993,17.9
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1994,13.1
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1995,10
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1996,29.8
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1997,21.2
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1998,4.6
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",1999,3.4
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2000,23
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2001,48.8
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2002,32.6
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2003,60
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2004,86.2
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2005,68.7
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2006,63.5
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2007,47
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2008,54.5
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2009,36.1
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2010,25
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2011,15.8
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2012,-5.8
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2013,-9.9
"ConservationUnit","spawner","Skeena","Chinook",210,"Lower Skeena",2014,-16.1
